Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
May 2017,01/05/17,31/05/17,water,MF9,98.55,%,HELY-HUTCHINSON,
June 2017,01/06/17,30/06/17,water,MF9,100.05,%,HELY-HUTCHINSON,
July 2017,01/07/17,31/07/17,water,MF9,100.22,%,HELY-HUTCHINSON,
August 2017,01/08/17,31/08/17,water,MF9,100.27,%,HELY-HUTCHINSON,
September 2017,01/09/17,30/09/17,water,MF9,100.1,%,HELY-HUTCHINSON,
October 2017,01/10/17,31/10/17,water,MF9,100.25,%,HELY-HUTCHINSON,
November 2017,01/11/17,30/11/17,water,MF9,99.95,%,HELY-HUTCHINSON,
December 2017,01/12/17,31/12/17,water,MF9,98.49,%,HELY-HUTCHINSON,
January 2018,01/01/18,31/01/18,water,MF9,98.51,%,HELY-HUTCHINSON,
February 2018,01/02/18,28/02/18,water,MF9,96.69,%,HELY-HUTCHINSON,
March 2018,01/03/18,31/03/18,water,MF9,94.26,%,HELY-HUTCHINSON,
April 2018,01/04/18,30/04/18,water,MF9,77.91,%,HELY-HUTCHINSON,
May 2018,01/05/18,31/05/18,water,MF9,71.47,%,HELY-HUTCHINSON,
June 2018,01/06/18,30/06/18,water,MF9,99.48,%,HELY-HUTCHINSON,
July 2018,01/07/18,31/07/18,water,MF9,100.15,%,HELY-HUTCHINSON,
August 2018,01/08/18,31/08/18,water,MF9,97.95,%,HELY-HUTCHINSON,
September 2018,01/09/18,30/09/18,water,MF9,100.56,%,HELY-HUTCHINSON,
October 2018,01/10/18,31/10/18,water,MF9,99.03,%,HELY-HUTCHINSON,
November 2018,01/11/18,30/11/18,water,MF9,96.76,%,HELY-HUTCHINSON,
December 2018,01/12/18,31/12/18,water,MF9,98.77,%,HELY-HUTCHINSON,
January 2019,01/01/19,31/01/19,water,MF9,98.55,%,HELY-HUTCHINSON,
February 2019,01/02/19,28/02/19,water,MF9,84.07,%,HELY-HUTCHINSON,
March 2019,01/03/19,31/03/19,water,MF9,33.39,%,HELY-HUTCHINSON,
April 2019,01/04/19,30/04/19,water,MF9,4.26,%,HELY-HUTCHINSON,
May 2019,01/05/19,31/05/19,water,MF9,6.96,%,HELY-HUTCHINSON,
