Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
July 2018,01/07/18,31/07/18,water,MF9,93.9,%,Victoria,
August 2018,01/08/18,31/08/18,water,MF9,100.14,%,Victoria,
September 2018,01/09/18,30/09/18,water,MF9,101.29,%,Victoria,
October 2018,01/10/18,31/10/18,water,MF9,98.95,%,Victoria,
November 2018,01/11/18,30/11/18,water,MF9,92.49,%,Victoria,
December 2018,01/12/18,31/12/18,water,MF9,89.03,%,Victoria,
January 2019,01/01/19,31/01/19,water,MF9,84.55,%,Victoria,
February 2019,01/02/19,28/02/19,water,MF9,54.75,%,Victoria,
March 2019,01/03/19,31/03/19,water,MF9,2.32,%,Victoria,
April 2019,01/04/19,30/04/19,water,MF9,0.08,%,Victoria,
May 2019,01/05/19,31/05/19,water,MF9,4.57,%,Victoria,
