Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2018,01/01/18,31/01/18,water,MF9,19.55,%,Voëlvlei,
February 2018,01/02/18,28/02/18,water,MF9,16.88,%,Voëlvlei,
March 2018,01/03/18,31/03/18,water,MF9,15.01,%,Voëlvlei,
April 2018,01/04/18,30/04/18,water,MF9,14.12,%,Voëlvlei,
May 2018,01/05/18,31/05/18,water,MF9,15.01,%,Voëlvlei,
June 2018,01/06/18,30/06/18,water,MF9,29.28,%,Voëlvlei,
July 2018,01/07/18,31/07/18,water,MF9,53.4,%,Voëlvlei,
August 2018,01/08/18,31/08/18,water,MF9,63.51,%,Voëlvlei,
September 2018,01/09/18,30/09/18,water,MF9,83.78,%,Voëlvlei,
October 2018,01/10/18,31/10/18,water,MF9,96.3,%,Voëlvlei,
November 2018,01/11/18,30/11/18,water,MF9,93.64,%,Voëlvlei,
December 2018,01/12/18,31/12/18,water,MF9,87.6,%,Voëlvlei,
January 2019,01/01/19,31/01/19,water,MF9,79.92,%,Voëlvlei,
February 2019,01/02/19,28/02/19,water,MF9,70.86,%,Voëlvlei,
March 2019,01/03/19,31/03/19,water,MF9,63.57,%,Voëlvlei,
April 2019,01/04/19,30/04/19,water,MF9,58.69,%,Voëlvlei,
May 2019,01/05/19,31/05/19,water,MF9,55.54,%,Voëlvlei,
