Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
July 2018,01/07/18,31/07/18,water,MF9,83.92,%,Berg River,
August 2018,01/08/18,31/08/18,water,MF9,89.65,%,Berg River,
September 2018,01/09/18,30/09/18,water,MF9,98.62,%,Berg River,
October 2018,01/10/18,31/10/18,water,MF9,99.38,%,Berg River,
November 2018,01/11/18,30/11/18,water,MF9,97.87,%,Berg River,
December 2018,01/12/18,31/12/18,water,MF9,92.51,%,Berg River,
January 2019,01/01/19,31/01/19,water,MF9,86.27,%,Berg River,
February 2019,01/02/19,28/02/19,water,MF9,78.58,%,Berg River,
March 2019,01/03/19,31/03/19,water,MF9,73.25,%,Berg River,
April 2019,01/04/19,30/04/19,water,MF9,69.33,%,Berg River,
May 2019,01/05/19,31/05/19,water,MF9,68.9,%,Berg River,
