Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
October 2017,01/10/17,31/10/17,water,MF9,66.85,%,KLEINPLAATS,
November 2017,01/11/17,30/11/17,water,MF9,63.84,%,KLEINPLAATS,
December 2017,01/12/17,31/12/17,water,MF9,57.96,%,KLEINPLAATS,
January 2018,01/01/18,31/01/18,water,MF9,52.19,%,KLEINPLAATS,
February 2018,01/02/18,28/02/18,water,MF9,46.7,%,KLEINPLAATS,
March 2018,01/03/18,31/03/18,water,MF9,42.66,%,KLEINPLAATS,
April 2018,01/04/18,30/04/18,water,MF9,39.75,%,KLEINPLAATS,
May 2018,01/05/18,31/05/18,water,MF9,37.76,%,KLEINPLAATS,
June 2018,01/06/18,30/06/18,water,MF9,46.75,%,KLEINPLAATS,
July 2018,01/07/18,31/07/18,water,MF9,73.69,%,KLEINPLAATS,
August 2018,01/08/18,31/08/18,water,MF9,81.4,%,KLEINPLAATS,
September 2018,01/09/18,30/09/18,water,MF9,97.72,%,KLEINPLAATS,
October 2018,01/10/18,31/10/18,water,MF9,98.47,%,KLEINPLAATS,
November 2018,01/11/18,30/11/18,water,MF9,91.52,%,KLEINPLAATS,
December 2018,01/12/18,31/12/18,water,MF9,83.17,%,KLEINPLAATS,
January 2019,01/01/19,31/01/19,water,MF9,74.57,%,KLEINPLAATS,
February 2019,01/02/19,28/02/19,water,MF9,65.43,%,KLEINPLAATS,
March 2019,01/03/19,31/03/19,water,MF9,52.12,%,KLEINPLAATS,
April 2019,01/04/19,30/04/19,water,MF9,46.65,%,KLEINPLAATS,
May 2019,01/05/19,31/05/19,water,MF9,43.85,%,KLEINPLAATS,
