Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
November 2017,01/11/17,30/11/17,water,MF9,87.52,%,DE VILLIERS,
December 2017,01/12/17,31/12/17,water,MF9,77.99,%,DE VILLIERS,
January 2018,01/01/18,31/01/18,water,MF9,79.73,%,DE VILLIERS,
February 2018,01/02/18,28/02/18,water,MF9,77.58,%,DE VILLIERS,
March 2018,01/03/18,31/03/18,water,MF9,60.95,%,DE VILLIERS,
April 2018,01/04/18,30/04/18,water,MF9,56.8,%,DE VILLIERS,
May 2018,01/05/18,31/05/18,water,MF9,50.87,%,DE VILLIERS,
June 2018,01/06/18,30/06/18,water,MF9,73.68,%,DE VILLIERS,
July 2018,01/07/18,31/07/18,water,MF9,97.72,%,DE VILLIERS,
August 2018,01/08/18,31/08/18,water,MF9,98.52,%,DE VILLIERS,
September 2018,01/09/18,30/09/18,water,MF9,100.39,%,DE VILLIERS,
October 2018,01/10/18,31/10/18,water,MF9,95.9,%,DE VILLIERS,
November 2018,01/11/18,30/11/18,water,MF9,83.55,%,DE VILLIERS,
December 2018,01/12/18,31/12/18,water,MF9,65.44,%,DE VILLIERS,
January 2019,01/01/19,31/01/19,water,MF9,41.37,%,DE VILLIERS,
February 2019,01/02/19,28/02/19,water,MF9,44.97,%,DE VILLIERS,
March 2019,01/03/19,31/03/19,water,MF9,52.17,%,DE VILLIERS,
April 2019,01/04/19,30/04/19,water,MF9,60.58,%,DE VILLIERS,
May 2019,01/05/19,31/05/19,water,MF9,61.77,%,DE VILLIERS,
