Timeframe Name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
November 2017,01/11/17,30/11/17,water,MF9,81.33,%,LEWIS GAY,
December 2017,01/12/17,31/12/17,water,MF9,87.16,%,LEWIS GAY,
January 2018,01/01/18,31/01/18,water,MF9,95.03,%,LEWIS GAY,
February 2018,01/02/18,28/02/18,water,MF9,95.46,%,LEWIS GAY,
March 2018,01/03/18,31/03/18,water,MF9,71.32,%,LEWIS GAY,
April 2018,01/04/18,30/04/18,water,MF9,58.05,%,LEWIS GAY,
May 2018,01/05/18,31/05/18,water,MF9,69.15,%,LEWIS GAY,
June 2018,01/06/18,30/06/18,water,MF9,93.0,%,LEWIS GAY,
July 2018,01/07/18,31/07/18,water,MF9,86.86,%,LEWIS GAY,
August 2018,01/08/18,31/08/18,water,MF9,66.03,%,LEWIS GAY,
September 2018,01/09/18,30/09/18,water,MF9,92.34,%,LEWIS GAY,
October 2018,01/10/18,31/10/18,water,MF9,96.28,%,LEWIS GAY,
November 2018,01/11/18,30/11/18,water,MF9,82.84,%,LEWIS GAY,
December 2018,01/12/18,31/12/18,water,MF9,67.56,%,LEWIS GAY,
January 2019,01/01/19,31/01/19,water,MF9,37.58,%,LEWIS GAY,
February 2019,01/02/19,28/02/19,water,MF9,4.29,%,LEWIS GAY,
March 2019,01/03/19,31/03/19,water,MF9,0.0,%,LEWIS GAY,
April 2019,01/04/19,30/04/19,water,MF9,0.0,%,LEWIS GAY,
May 2019,01/05/19,31/05/19,water,MF9,0.0,%,LEWIS GAY,
