Timeframe name,From (date),To (date),Material name,Material code,Quantity,Unit,Location,Comments
January 2018,01/01/18,31/01/18,water,MF9,52.3,%,Wemmershoek,
February 2018,01/02/18,28/02/18,water,MF9,48.54,%,Wemmershoek,
March 2018,01/03/18,31/03/18,water,MF9,44.05,%,Wemmershoek,
April 2018,01/04/18,30/04/18,water,MF9,44.65,%,Wemmershoek,
May 2018,01/05/18,31/05/18,water,MF9,48.74,%,Wemmershoek,
June 2018,01/06/18,30/06/18,water,MF9,63.5,%,Wemmershoek,
July 2018,01/07/18,31/07/18,water,MF9,83.49,%,Wemmershoek,
August 2018,01/08/18,31/08/18,water,MF9,83.72,%,Wemmershoek,
September 2018,01/09/18,30/09/18,water,MF9,91.26,%,Wemmershoek,
October 2018,01/10/18,31/10/18,water,MF9,93.87,%,Wemmershoek,
November 2018,01/11/18,30/11/18,water,MF9,89.1,%,Wemmershoek,
December 2018,01/12/18,31/12/18,water,MF9,81.84,%,Wemmershoek,
January 2019,01/01/19,31/01/19,water,MF9,73.97,%,Wemmershoek,
February 2019,01/02/19,28/02/19,water,MF9,66.14,%,Wemmershoek,
March 2019,01/03/19,31/03/19,water,MF9,58.54,%,Wemmershoek,
April 2019,01/04/19,30/04/19,water,MF9,50.72,%,Wemmershoek,
May 2019,01/05/19,31/05/19,water,MF9,43.56,%,Wemmershoek,
January 2012,01/01/12,31/01/12,water,MF9,66.75,%,Steenbras Lower,
February 2012,01/02/12,29/02/12,water,MF9,58.68,%,Steenbras Lower,
March 2012,01/03/12,31/03/12,water,MF9,49.7,%,Steenbras Lower,
April 2012,01/04/12,30/04/12,water,MF9,43.75,%,Steenbras Lower,
May 2012,01/05/12,31/05/12,water,MF9,44.48,%,Steenbras Lower,
June 2012,01/06/12,30/06/12,water,MF9,50.57,%,Steenbras Lower,
July 2012,01/07/12,31/07/12,water,MF9,73.23,%,Steenbras Lower,
August 2012,01/08/12,31/08/12,water,MF9,98.11,%,Steenbras Lower,
September 2012,01/09/12,30/09/12,water,MF9,98.63,%,Steenbras Lower,
October 2012,01/10/12,31/10/12,water,MF9,99.76,%,Steenbras Lower,
November 2012,01/11/12,30/11/12,water,MF9,92.41,%,Steenbras Lower,
December 2012,01/12/12,31/12/12,water,MF9,80.92,%,Steenbras Lower,
January 2013,01/01/13,31/01/13,water,MF9,70.67,%,Steenbras Lower,
February 2013,01/02/13,28/02/13,water,MF9,60.86,%,Steenbras Lower,
March 2013,01/03/13,31/03/13,water,MF9,52.47,%,Steenbras Lower,
April 2013,01/04/13,30/04/13,water,MF9,45.65,%,Steenbras Lower,
May 2013,01/05/13,31/05/13,water,MF9,48.69,%,Steenbras Lower,
June 2013,01/06/13,30/06/13,water,MF9,68.5,%,Steenbras Lower,
